Date,Store Zip Code,Product,Payment Type,Units,Amount of Sale,Revenue Discount,COGS
10/19/2016,89115,Quad,Cash,1,43.96,0,22.52
10/16/2016,89115,Yanaki,Debit Visa,2,57.5,0,27.68
12/15/2016,89030,Fun Fly,Visa,4,19.8,0.1,15.68
12/15/2016,89115,Fun Fly,Cash,1,4.95,0,2.08
10/24/2016,89115,Aspen,In Store,1,27.95,0,11.44
12/3/2016,89115,Aspen,Cash,2,55.9,0,21.88
12/5/2016,89419,Quad,Cash,1,43.96,0,22.36
11/6/2016,89115,Yanaki,Visa,1,28.75,0,14.64
11/4/2016,89030,Yanaki,Visa,1,28.75,0,13.46
10/4/2016,89419,Majestic Beaut,Visa,6,197.7,0.1,116.34
11/21/2016,89115,Aspen,Visa,3,83.85,0,38.07
11/25/2016,89030,Carlota,Debit Mastercard,1,27.95,0,12.33
12/13/2016,89030,Bellen,Paypal,1,24.95,0,13.21
11/26/2016,89419,Bellen,Debit Visa,2,49.9,0,25.32
12/4/2016,89419,Carlota,Cash,1,27.95,0,13.11
10/13/2016,89030,Fun Fly,Paypal,1,4.95,0,2.83
11/9/2016,89115,Quad,In Store,1,43.96,0,20.6
12/12/2016,89030,Carlota,Debit Visa,12,335.4,0.1875,133.32
12/4/2016,89419,Quad,Cash,6,263.76,0.1,126.6
10/5/2016,89419,Fun Fly,Cash,1,4.95,0,2.12
12/9/2016,89030,Yanaki,Debit Visa,2,57.5,0,29.76
10/14/2016,89115,Bellen,Visa,1,24.95,0,13.56
11/12/2016,89030,Quad,Cash,1,43.96,0,22.95
11/30/2016,89419,Yanaki,Cash,1,28.75,0,16.1
10/19/2016,89419,Fun Fly,Debit Visa,1,4.95,0,1.56
10/15/2016,89115,Carlota,Debit Visa,6,167.7,0.1,75.84
10/7/2016,89030,Yanaki,Debit Visa,1,28.75,0,13.66
11/26/2016,89115,Majestic Beaut,Cash,1,32.95,0,20.51
10/11/2016,89115,Fun Fly,Paypal,1,4.95,0,3.89
11/30/2016,89030,Aspen,Cash,1,27.95,0,11.69
11/1/2016,89115,Yanaki,Debit Visa,1,28.75,0,15.76
10/25/2016,89115,Majestic Beaut,Cash,2,65.9,0,38.14
12/18/2016,89115,Carlota,Debit Visa,1,27.95,0,12.15
12/12/2016,89419,Fun Fly,Cash,4,19.8,0.1,9.08
10/22/2016,89115,Carlota,Cash,12,335.4,0.1875,157.68
10/7/2016,89115,Bellen,Paypal,4,99.8,0.1,48.04
11/20/2016,89419,Quad,Paypal,1,43.96,0,20.45
11/30/2016,89115,Fun Fly,Debit Visa,1,4.95,0,2.83
10/13/2016,89419,Fun Fly,Paypal,1,4.95,0,2.04
11/15/2016,89030,Quad,Debit Mastercard,1,43.96,0,20.98
11/7/2016,89115,Majestic Beaut,Debit Mastercard,1,32.95,0,20.59
11/30/2016,89030,Bellen,Cash,12,299.4,0.1875,156.6
10/11/2016,89115,Bellen,Debit Mastercard,1,24.95,0,13.92
11/3/2016,89030,Majestic Beaut,Debit Visa,1,32.95,0,19.2
10/16/2016,89419,Bellen,Visa,1,24.95,0,13.16
10/6/2016,89115,Quad,Debit Mastercard,1,43.96,0,20.47
12/24/2016,89030,Aspen,Debit Visa,1,27.95,0,11.49
11/14/2016,89030,Quad,Debit Visa,1,43.96,0,22.36
10/20/2016,89030,Carlota,Visa,12,335.4,0.1875,154.8
11/23/2016,89419,Majestic Beaut,American Express,1,32.95,0,18.72
10/18/2016,89115,Yanaki,Debit Visa,1,28.75,0,13.61
10/6/2016,89030,Majestic Beaut,American Express,12,395.4,0.1875,226.68
10/23/2016,89115,Yanaki,Debit Visa,1,28.75,0,14.92
10/5/2016,89115,Yanaki,Cash,1,28.75,0,14.67
12/23/2016,89030,Fun Fly,American Express,1,4.95,0,3.69
10/26/2016,89030,Quad,Cash,1,43.96,0,20.51
11/3/2016,89030,Majestic Beaut,Mastercard,2,65.9,0,36.9
10/14/2016,89419,Bellen,Debit Visa,1,24.95,0,12.26
11/25/2016,89419,Fun Fly,Debit Visa,1,4.95,0,2.64
11/2/2016,89419,Carlota,Cash,1,27.95,0,13.17
11/30/2016,89115,Bellen,Paypal,4,99.8,0.1,53.28
12/16/2016,89030,Quad,Cash,2,87.92,0,44.96
10/21/2016,89030,Bellen,Debit Visa,1,24.95,0,14.26
10/1/2016,89030,Bellen,Mastercard,3,74.85,0,42.39
11/23/2016,89419,Bellen,American Express,1,24.95,0,14.13
11/1/2016,89030,Aspen,Debit Visa,1,27.95,0,12.47
11/6/2016,89115,Quad,Visa,1,43.96,0,21.72
10/22/2016,89030,Bellen,American Express,6,149.7,0.1,78
11/15/2016,89419,Quad,Visa,6,263.76,0.1,134.1
10/15/2016,89115,Quad,Mastercard,4,175.84,0.1,87.56
10/30/2016,89115,Carlota,Debit Mastercard,6,167.7,0.1,75.84
10/26/2016,89030,Yanaki,Cash,1,28.75,0,13.65
12/6/2016,89115,Fun Fly,Visa,1,4.95,0,2.63
10/28/2016,89419,Aspen,Cash,6,167.7,0.1,68.28
12/9/2016,89419,Quad,Debit Mastercard,1,43.96,0,22.13
11/2/2016,89030,Bellen,Mastercard,1,24.95,0,12.09
12/13/2016,89115,Fun Fly,American Express,1,4.95,0,3.99
10/9/2016,89030,Fun Fly,Debit Mastercard,1,4.95,0,2.09
10/27/2016,89419,Bellen,Mastercard,12,299.4,0.1875,159.96
12/1/2016,89115,Quad,Mastercard,1,43.96,0,22.45
11/24/2016,89419,Bellen,Visa,4,99.8,0.1,51.4
11/13/2016,89419,Bellen,Debit Visa,3,74.85,0,39.84
10/17/2016,89419,Aspen,Visa,12,335.4,0.1875,132.96
10/6/2016,89030,Quad,Visa,1,43.96,0,20.36
11/17/2016,89115,Quad,Debit Mastercard,1,43.96,0,21.65
11/20/2016,89115,Bellen,Visa,1,24.95,0,12.2
11/23/2016,89419,Carlota,Debit Visa,1,27.95,0,12.96
12/6/2016,89030,Yanaki,Debit Mastercard,1,28.75,0,14.01
11/30/2016,89030,Fun Fly,Debit Visa,6,29.7,0.1,21.48
12/1/2016,89115,Majestic Beaut,In Store,12,395.4,0.1875,230.04
10/18/2016,89030,Yanaki,Debit Visa,1,28.75,0,15.31
10/1/2016,89419,Bellen,Mastercard,6,149.7,0.1,75.84
10/31/2016,89030,Bellen,Mastercard,1,24.95,0,11.91
11/8/2016,89030,Quad,Debit Visa,1,43.96,0,20.72
10/18/2016,89419,Carlota,Debit Visa,6,167.7,0.1,80.52
12/15/2016,89115,Bellen,Cash,1,24.95,0,11.85
10/23/2016,89419,Aspen,Cash,1,27.95,0,12.38
11/23/2016,89419,Yanaki,Debit Mastercard,1,28.75,0,14.87
10/31/2016,89030,Quad,Debit Visa,1,43.96,0,22.69
12/11/2016,89030,Bellen,Visa,1,24.95,0,12.08
10/24/2016,89115,Bellen,Visa,1,24.95,0,13.8
10/23/2016,89115,Majestic Beaut,In Store,12,395.4,0.1875,246.36
10/19/2016,89030,Carlota,Cash,1,27.95,0,11.49
10/19/2016,89115,Fun Fly,Mastercard,1,4.95,0,2.59
10/11/2016,89115,Bellen,Mastercard,6,149.7,0.1,75.06
10/2/2016,89115,Yanaki,Cash,1,28.75,0,15.56
11/3/2016,89419,Fun Fly,Debit Mastercard,6,29.7,0.1,20.94
12/4/2016,89115,Fun Fly,Visa,2,9.9,0,6.12
10/6/2016,89030,Quad,Debit Mastercard,1,43.96,0,22.04
10/7/2016,89419,Yanaki,Visa,1,28.75,0,16.13
11/12/2016,89419,Fun Fly,Visa,12,59.4,0.1875,42.6
11/23/2016,89115,Yanaki,Visa,1,28.75,0,14.21
11/26/2016,89030,Bellen,In Store,2,49.9,0,23.66
11/27/2016,89115,Bellen,Paypal,1,24.95,0,13.15
12/4/2016,89419,Fun Fly,Debit Mastercard,1,4.95,0,3.97
10/23/2016,89115,Bellen,Debit Visa,1,24.95,0,14.01
11/2/2016,89030,Bellen,Debit Visa,1,24.95,0,13.42
11/16/2016,89030,Aspen,Mastercard,1,27.95,0,10.26
12/3/2016,89115,Fun Fly,Debit Visa,1,4.95,0,3.44
12/7/2016,89115,Fun Fly,Mastercard,1,4.95,0,4.09
12/14/2016,89115,Carlota,In Store,12,335.4,0.1875,139.44
10/7/2016,89419,Fun Fly,In Store,1,4.95,0,3.84
11/4/2016,89419,Bellen,Visa,12,299.4,0.1875,166.32
12/13/2016,89030,Majestic Beaut,Cash,1,32.95,0,19.49
10/31/2016,89115,Bellen,Debit Visa,1,24.95,0,12.23
11/11/2016,89030,Yanaki,Debit Visa,1,28.75,0,14.78
11/4/2016,89419,Quad,Debit Mastercard,1,43.96,0,21.69
10/6/2016,89030,Yanaki,In Store,2,57.5,0,29.32
12/12/2016,89115,Fun Fly,Debit Visa,1,4.95,0,3.4
10/8/2016,89419,Fun Fly,Mastercard,1,4.95,0,2.92
12/22/2016,89419,Fun Fly,Debit Visa,1,4.95,0,3.12
10/18/2016,89115,Majestic Beaut,Cash,1,32.95,0,19.19
10/26/2016,89030,Majestic Beaut,Cash,6,197.7,0.1,111.24
12/17/2016,89115,Fun Fly,Debit Visa,2,9.9,0,3.42
10/19/2016,89030,Yanaki,Cash,1,28.75,0,15.15
12/20/2016,89115,Carlota,Paypal,1,27.95,0,11.45
10/25/2016,89030,Aspen,Debit Visa,1,27.95,0,12.12
10/16/2016,89115,Yanaki,Visa,1,28.75,0,15.67
10/27/2016,89030,Quad,Visa,1,43.96,0,21.71
10/11/2016,89030,Yanaki,Cash,1,28.75,0,16.13
10/7/2016,89419,Yanaki,Cash,1,28.75,0,15.84
11/7/2016,89419,Bellen,Cash,2,49.9,0,27.6
10/1/2016,89030,Quad,Visa,1,43.96,0,22.94
10/24/2016,89030,Quad,Cash,1,43.96,0,22.51
11/7/2016,89419,Carlota,Paypal,2,55.9,0,21.96
10/12/2016,89419,Yanaki,Mastercard,1,28.75,0,15.89
10/1/2016,89419,Yanaki,Mastercard,1,28.75,0,15.81
10/11/2016,89419,Fun Fly,Debit Visa,12,59.4,0.1875,22.32
11/25/2016,89419,Majestic Beaut,Mastercard,1,32.95,0,18.91
11/6/2016,89419,Bellen,Visa,1,24.95,0,14.01
10/6/2016,89030,Fun Fly,Debit Mastercard,12,59.4,0.1875,46.56
10/21/2016,89030,Majestic Beaut,Cash,1,32.95,0,20.02
10/18/2016,89419,Aspen,Visa,6,167.7,0.1,66.9
11/13/2016,89030,Yanaki,Paypal,3,86.25,0,42.03
12/23/2016,89419,Carlota,Mastercard,1,27.95,0,11.28
11/14/2016,89115,Fun Fly,Mastercard,12,59.4,0.1875,45.72
10/2/2016,89419,Aspen,Debit Visa,3,83.85,0,38.85
11/21/2016,89419,Aspen,In Store,1,27.95,0,11.39
12/5/2016,89030,Aspen,Debit Visa,1,27.95,0,10.85
10/1/2016,89419,Fun Fly,Paypal,1,4.95,0,2.55
11/5/2016,89419,Bellen,Debit Mastercard,6,149.7,0.1,78.3
10/11/2016,89030,Aspen,In Store,3,83.85,0,33.66
11/13/2016,89419,Aspen,In Store,1,27.95,0,11.48
11/13/2016,89030,Majestic Beaut,Debit Mastercard,12,395.4,0.1875,221.28
11/22/2016,89030,Bellen,Visa,2,49.9,0,23.76
11/21/2016,89030,Quad,Debit Visa,1,43.96,0,20.64
10/20/2016,89030,Carlota,Cash,12,335.4,0.1875,154.32
10/10/2016,89419,Aspen,Mastercard,1,27.95,0,11.03
10/14/2016,89419,Aspen,Cash,1,27.95,0,12.92
10/8/2016,89419,Quad,Debit Visa,1,43.96,0,21.54
11/3/2016,89115,Bellen,Debit Visa,1,24.95,0,12.15
11/27/2016,89030,Fun Fly,Visa,2,9.9,0,3.66
12/21/2016,89115,Bellen,Debit Mastercard,2,49.9,0,24.48
10/29/2016,89115,Carlota,Paypal,6,167.7,0.1,77.46
11/1/2016,89419,Quad,Cash,1,43.96,0,21.03
11/4/2016,89030,Fun Fly,Visa,1,4.95,0,2.05
12/11/2016,89419,Aspen,Mastercard,12,335.4,0.1875,135.48
11/27/2016,89419,Yanaki,Cash,4,115,0.1,62.92
11/25/2016,89419,Fun Fly,Cash,1,4.95,0,3.13
12/3/2016,89030,Fun Fly,Debit Visa,12,59.4,0.1875,25.32
11/23/2016,89030,Fun Fly,Visa,1,4.95,0,3.76
12/13/2016,89030,Quad,Paypal,12,527.52,0.1875,264.24
11/16/2016,89030,Fun Fly,Visa,1,4.95,0,1.5
10/15/2016,89030,Aspen,In Store,1,27.95,0,12.33
12/14/2016,89030,Fun Fly,Debit Mastercard,12,59.4,0.1875,46.32
10/2/2016,89115,Fun Fly,Debit Visa,6,29.7,0.1,13.44
10/30/2016,89115,Yanaki,Mastercard,1,28.75,0,14.75
10/7/2016,89115,Quad,Cash,1,43.96,0,21.37
11/15/2016,89030,Aspen,Debit Visa,1,27.95,0,12.33
11/25/2016,89419,Bellen,Paypal,1,24.95,0,12.3
11/26/2016,89030,Yanaki,Mastercard,12,345,0.1875,162.84
10/2/2016,89030,Aspen,Cash,3,83.85,0,34.5
12/1/2016,89030,Yanaki,Mastercard,1,28.75,0,14.08
12/24/2016,89115,Aspen,Debit Visa,1,27.95,0,11.94
11/23/2016,89419,Majestic Beaut,Cash,6,197.7,0.1,117.72
11/9/2016,89030,Yanaki,Mastercard,1,28.75,0,15.46
10/16/2016,89030,Fun Fly,Visa,3,14.85,0,12.33
10/10/2016,89030,Quad,Paypal,6,263.76,0.1,137.4
11/3/2016,89030,Aspen,Paypal,1,27.95,0,10.37
11/20/2016,89115,Yanaki,Visa,1,28.75,0,13.82
11/13/2016,89115,Yanaki,Visa,1,28.75,0,15.07
11/30/2016,89030,Quad,Cash,1,43.96,0,21.11
12/9/2016,89419,Bellen,Debit Visa,1,24.95,0,11.8
12/18/2016,89419,Aspen,American Express,4,111.8,0.1,47.32
12/20/2016,89419,Bellen,Debit Visa,4,99.8,0.1,53.52
12/22/2016,89419,Bellen,Debit Visa,6,149.7,0.1,78.12
12/15/2016,89115,Yanaki,American Express,2,57.5,0,32
11/20/2016,89419,Majestic Beaut,Paypal,6,197.7,0.1,111.12
11/18/2016,89419,Bellen,Debit Visa,1,24.95,0,13.5
12/10/2016,89419,Majestic Beaut,Paypal,1,32.95,0,20.14
11/3/2016,89030,Yanaki,Cash,1,28.75,0,14.24
10/25/2016,89419,Carlota,Debit Mastercard,4,111.8,0.1,48.84
11/1/2016,89115,Yanaki,Debit Mastercard,1,28.75,0,15.52
10/6/2016,89030,Majestic Beaut,Cash,6,197.7,0.1,108.36
11/26/2016,89115,Quad,Debit Visa,1,43.96,0,20.4
11/7/2016,89115,Fun Fly,Paypal,6,29.7,0.1,14.82
12/12/2016,89115,Fun Fly,Cash,1,4.95,0,2.43
10/24/2016,89030,Bellen,Debit Visa,6,149.7,0.1,81.9
12/4/2016,89030,Yanaki,Visa,1,28.75,0,14.18
10/10/2016,89115,Fun Fly,Debit Visa,1,4.95,0,2.31
12/5/2016,89030,Bellen,Debit Visa,1,24.95,0,13.45
11/17/2016,89115,Majestic Beaut,Debit Visa,1,32.95,0,20.16
11/27/2016,89030,Aspen,Debit Visa,1,27.95,0,10.53
12/9/2016,89030,Aspen,Debit Visa,1,27.95,0,10.62
11/7/2016,89030,Quad,Debit Visa,6,263.76,0.1,126.36
12/16/2016,89030,Bellen,Cash,1,24.95,0,13.22
10/12/2016,89419,Quad,In Store,4,175.84,0.1,81.44
10/26/2016,89419,Fun Fly,Debit Mastercard,1,4.95,0,3.95
11/18/2016,89115,Quad,American Express,1,43.96,0,22.02
10/7/2016,89030,Fun Fly,Debit Visa,1,4.95,0,2.83
10/4/2016,89030,Aspen,Cash,6,167.7,0.1,65.46
11/13/2016,89419,Carlota,Debit Visa,6,167.7,0.1,71.58
12/8/2016,89115,Aspen,Visa,1,27.95,0,10.54
10/7/2016,89115,Bellen,Debit Visa,1,24.95,0,12.56
11/12/2016,89419,Yanaki,Debit Visa,2,57.5,0,27.06
12/6/2016,89115,Bellen,Cash,1,24.95,0,12.72
12/17/2016,89030,Yanaki,Cash,6,172.5,0.1,88.08
11/14/2016,89419,Yanaki,Debit Mastercard,1,28.75,0,14.35
10/8/2016,89030,Carlota,Visa,6,167.7,0.1,76.2
10/26/2016,89419,Carlota,Mastercard,12,335.4,0.1875,130.56
11/16/2016,89030,Bellen,Visa,2,49.9,0,28.54
10/27/2016,89419,Fun Fly,Debit Visa,1,4.95,0,1.86
10/30/2016,89030,Fun Fly,Cash,1,4.95,0,1.79
10/25/2016,89030,Bellen,Cash,1,24.95,0,11.86
12/24/2016,89030,Aspen,Debit Mastercard,1,27.95,0,11.04
12/18/2016,89115,Bellen,Mastercard,1,24.95,0,12.82
11/27/2016,89115,Bellen,Debit Mastercard,1,24.95,0,13.21
10/14/2016,89030,Carlota,Debit Visa,1,27.95,0,11.07
10/5/2016,89419,Fun Fly,Debit Visa,1,4.95,0,3.18
12/13/2016,89115,Yanaki,Debit Mastercard,1,28.75,0,13.92
11/8/2016,89115,Yanaki,Cash,1,28.75,0,15.61
11/5/2016,89030,Fun Fly,Debit Mastercard,6,29.7,0.1,22.14
10/12/2016,89115,Aspen,Cash,12,335.4,0.1875,129
12/13/2016,89115,Bellen,Visa,1,24.95,0,13.72
12/12/2016,89030,Yanaki,Cash,1,28.75,0,16.11
11/7/2016,89115,Quad,Debit Visa,1,43.96,0,20.74
10/10/2016,89115,Bellen,Cash,2,49.9,0,27.96
11/24/2016,89115,Bellen,Mastercard,12,299.4,0.1875,152.88
10/9/2016,89115,Quad,Visa,1,43.96,0,22.7
11/17/2016,89030,Bellen,Debit Mastercard,1,24.95,0,12.71
11/15/2016,89419,Fun Fly,Debit Visa,1,4.95,0,3.71
11/23/2016,89115,Quad,Debit Visa,6,263.76,0.1,138.06
11/27/2016,89030,Quad,Debit Mastercard,1,43.96,0,21.55
12/15/2016,89419,Fun Fly,Visa,1,4.95,0,2.24
11/8/2016,89419,Quad,Debit Visa,12,527.52,0.1875,271.44
10/28/2016,89419,Fun Fly,Debit Visa,1,4.95,0,3.71
10/8/2016,89115,Fun Fly,Mastercard,6,29.7,0.1,18.12
10/9/2016,89030,Fun Fly,Debit Visa,1,4.95,0,4.16
10/31/2016,89115,Carlota,Cash,1,27.95,0,12.35
11/2/2016,89115,Fun Fly,Cash,1,4.95,0,2.83
11/1/2016,89115,Yanaki,Visa,6,172.5,0.1,95.52
12/17/2016,89115,Fun Fly,American Express,12,59.4,0.1875,39.36
10/12/2016,89115,Bellen,Visa,1,24.95,0,11.95
11/25/2016,89115,Majestic Beaut,Cash,6,197.7,0.1,121.8
12/21/2016,89419,Quad,Debit Visa,1,43.96,0,22.2
10/9/2016,89115,Fun Fly,Visa,1,4.95,0,1.57
11/8/2016,89419,Fun Fly,Cash,1,4.95,0,2.86
11/17/2016,89419,Fun Fly,Cash,12,59.4,0.1875,17.76
10/9/2016,89030,Aspen,Cash,12,335.4,0.1875,142.68
10/23/2016,89030,Fun Fly,Cash,6,29.7,0.1,11.34
11/15/2016,89030,Bellen,Debit Visa,1,24.95,0,13.98
11/30/2016,89115,Fun Fly,Debit Mastercard,1,4.95,0,2.36
10/14/2016,89419,Bellen,Debit Visa,1,24.95,0,14.12
12/15/2016,89419,Fun Fly,Debit Visa,1,4.95,0,3.02
10/1/2016,89419,Bellen,Mastercard,1,24.95,0,13.67
11/1/2016,89030,Quad,Debit Visa,2,87.92,0,42
11/24/2016,89115,Fun Fly,Cash,2,9.9,0,5.98
12/5/2016,89115,Bellen,Mastercard,1,24.95,0,14.47
11/22/2016,89419,Carlota,Debit Visa,1,27.95,0,11.55
11/7/2016,89030,Carlota,Debit Visa,2,55.9,0,25.56
11/28/2016,89419,Carlota,Cash,1,27.95,0,12.92
12/9/2016,89030,Yanaki,Debit Visa,1,28.75,0,16.14
12/4/2016,89030,Fun Fly,Visa,4,19.8,0.1,7.2
10/6/2016,89419,Bellen,Debit Visa,2,49.9,0,24.72
11/24/2016,89115,Carlota,Debit Visa,3,83.85,0,32.73
11/8/2016,89030,Fun Fly,Visa,6,29.7,0.1,12.3
11/10/2016,89030,Bellen,Cash,1,24.95,0,12.01
11/12/2016,89419,Yanaki,Cash,1,28.75,0,15.11
12/22/2016,89030,Fun Fly,Debit Visa,6,29.7,0.1,20.88
11/6/2016,89419,Majestic Beaut,Paypal,12,395.4,0.1875,240.84
11/7/2016,89115,Carlota,Cash,1,27.95,0,11.3
12/6/2016,89419,Aspen,Visa,1,27.95,0,10.73
11/2/2016,89115,Fun Fly,Debit Visa,1,4.95,0,3.77
10/28/2016,89115,Bellen,Cash,1,24.95,0,14.37
10/25/2016,89030,Aspen,Paypal,2,55.9,0,21.78
10/11/2016,89030,Fun Fly,Debit Mastercard,2,9.9,0,4.58
10/11/2016,89115,Fun Fly,Debit Mastercard,1,4.95,0,2.14
10/9/2016,89030,Quad,Debit Mastercard,12,527.52,0.1875,257.4
10/22/2016,89030,Fun Fly,Debit Visa,1,4.95,0,1.58
10/11/2016,89419,Aspen,Paypal,1,27.95,0,11.8
12/23/2016,89030,Bellen,Mastercard,1,24.95,0,13.41
11/13/2016,89115,Bellen,Debit Visa,12,299.4,0.1875,159.84
12/3/2016,89030,Bellen,Visa,1,24.95,0,13.99
10/19/2016,89115,Aspen,Mastercard,1,27.95,0,12.96
11/7/2016,89030,Fun Fly,Debit Visa,12,59.4,0.1875,33.96
10/11/2016,89115,Aspen,Mastercard,1,27.95,0,12.5
11/16/2016,89030,Aspen,Debit Mastercard,1,27.95,0,10.64
